GlobalId,UUID,layer_index,layer_name,area_m2,volume_m3,co2_total
3bXiCStxP6Fgxdej$yc5T8,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,65.851,2.963,2419.219
3bXiCStxP6Fgxdej$yc503,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.176,0.143,116.696
3bXiCStxP6Fgxdej$yc50B,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.178,0.143,116.742
3bXiCStxP6Fgxdej$yc50U,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.369,0.152,123.788
3bXiCStxP6Fgxdej$yc50n,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,65.551,2.95,2408.224
3bXiCStxP6Fgxdej$yc52o,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.609,1.017,830.615
3bXiCStxP6Fgxdej$yc554,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.609,1.017,830.615
3bXiCStxP6Fgxdej$yc55E,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,6.736,0.303,247.449
3bXiCStxP6Fgxdej$yc55M,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,10.414,0.469,382.608
3bXiCStxP6Fgxdej$yc55U,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,6.738,0.303,247.547
3bXiCStxP6Fgxdej$yc55c,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,10.414,0.469,382.608
3bXiCStxP6Fgxdej$yc55k,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.607,1.017,830.546
3bXiCStxP6Fgxdej$yc55m,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.61,1.017,830.632
3bXiCStxP6Fgxdej$yc5T8,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,65.851,0.79,77.019
3bXiCStxP6Fgxdej$yc503,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.179,0.038,3.718
3bXiCStxP6Fgxdej$yc50B,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.176,0.038,3.715
3bXiCStxP6Fgxdej$yc50U,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.368,0.04,3.94
3bXiCStxP6Fgxdej$yc50n,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,65.551,0.787,76.669
3bXiCStxP6Fgxdej$yc52o,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.61,0.271,26.445
3bXiCStxP6Fgxdej$yc554,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.609,0.271,26.444
3bXiCStxP6Fgxdej$yc55E,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,6.736,0.081,7.878
3bXiCStxP6Fgxdej$yc55M,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,10.414,0.125,12.181
3bXiCStxP6Fgxdej$yc55U,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,6.738,0.081,7.881
3bXiCStxP6Fgxdej$yc55c,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,10.414,0.125,12.181
3bXiCStxP6Fgxdej$yc55k,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.609,0.271,26.444
3bXiCStxP6Fgxdej$yc55m,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.608,0.271,26.442
2O2Fr$t4X7Zf8NOew3FK4F,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,69.475,8.823,2882.138
2O2Fr$t4X7Zf8NOew3FKcz,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,69.533,8.831,2884.549
2OBrcmyk58NupXoVOHUtC0,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.608,0.362,-168.426
2OBrcmyk58NupXoVOHUtDX,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.608,0.362,-168.426
2OBrcmyk58NupXoVOHUtBP,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.65,0.362,-168.742
2OBrcmyk58NupXoVOHUt8F,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.607,0.362,-168.425
2OBrcmyk58NupXoVOHUt8s,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,9.322,0.149,-69.45
2OBrcmyk58NupXoVOHUt5W,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,9.322,0.149,-69.45
2OBrcmyk58NupXoVOHUtxr,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,60.724,0.972,-452.396
2OBrcmyk58NupXoVOHUtgP,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,60.724,0.972,-452.395
2OBrcmyk58NupXoVOHUtC0,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.608,0.068,3.187
2OBrcmyk58NupXoVOHUtDX,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.608,0.068,3.187
2OBrcmyk58NupXoVOHUtBP,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.65,0.068,3.193
2OBrcmyk58NupXoVOHUt8F,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.608,0.068,3.187
2OBrcmyk58NupXoVOHUt8s,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,9.322,0.028,1.314
2OBrcmyk58NupXoVOHUt5W,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,9.322,0.028,1.314
2OBrcmyk58NupXoVOHUtxr,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,60.724,0.182,8.56
2OBrcmyk58NupXoVOHUtgP,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,60.724,0.182,8.56
2OBrcmyk58NupXoVOHUt2f,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,6.34,0.063,48.051
2OBrcmyk58NupXoVOHUt0F,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,6.34,0.063,48.05
2OBrcmyk58NupXoVOHUtoa,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,12.954,0.13,98.179
2OBrcmyk58NupXoVOHUtjR,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,3.161,0.032,23.957
2OBrcmyk58NupXoVOHUtju,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,3.161,0.032,23.957
2OBrcmyk58NupXoVOHUten,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,12.954,0.13,98.179
2OBrcmyk58NupXoVOHUt2f,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,6.34,0.019,11.967
2OBrcmyk58NupXoVOHUt0F,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,6.34,0.019,11.967
2OBrcmyk58NupXoVOHUtoa,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,12.954,0.039,24.452
2OBrcmyk58NupXoVOHUtjR,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,3.161,0.009,5.967
2OBrcmyk58NupXoVOHUtju,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,3.161,0.009,5.967
2OBrcmyk58NupXoVOHUten,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,12.954,0.039,24.452
1CZILmCaHETO8tf3SgGEWh,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,25.431,3.815,1246.056
1CZILmCaHETO8tf3SgGEXu,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,25.428,3.814,1245.926
2O2Fr$t4X7Zf8NOew3FKau,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,50.081,0.801,58.574
2O2Fr$t4X7Zf8NOew3FKau,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,11.33,0.181,13.252
2O2Fr$t4X7Zf8NOew3FNld,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,0.54,0.009,0.631
2O2Fr$t4X7Zf8NOew3FNld,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,0.54,0.009,0.631
2O2Fr$t4X7Zf8NOew3FNbT,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,11.161,0.179,13.054
2O2Fr$t4X7Zf8NOew3FNbT,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,11.161,0.179,13.054
2O2Fr$t4X7Zf8NOew3FKRi,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,2.4,0.038,2.807
